VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg
cat1,NaN,NaN,0.442877242720919,-0.0629914056143608,0.440627693609059,0.641791481240995,0.442203744714082
cat2,NaN,NaN,0.0924741804199219,-0.0657053506496472,0.0921453560168899,0.145729022333729,0.0931949952325873
cat3,NaN,NaN,0.188604857498708,0.0479053429130224,0.188871347021104,0.362232526889563,0.187195771290088
cat4,NaN,NaN,-0.158695385696428,-0.161093890959066,-0.151179468382943,0.0267269699401241,-0.162295419717103
cat5,NaN,NaN,-0.0757447582286897,-0.200021885831848,-0.0840308020946763,-0.204743023144242,-0.0675752197302279
cat6,NaN,NaN,0.0609968212839943,0.0265948968723874,0.0753892139923849,0.277908680157223,0.0348604673280138
cat7,NaN,NaN,0.0666462029624068,0.063196079879269,0.0571057298659852,0.264198155848447,0.07365871025146
cat8,NaN,NaN,-0.685211344715039,-0.0566038564609945,-0.683699477752484,-0.508839986118999,-0.689111729215019
cat9,NaN,NaN,-0.0806029158173648,-0.098949885044301,-0.0813104929500143,-0.0519923646076942,-0.082670252295422
cat10,NaN,NaN,0.0382415356362881,0.0172530654050199,0.0429806346707475,0.0533956441411971,0.0305189942929497
h0,NaN,NaN,-17.6168613115196,-0.234310380359327,-17.6327180636037,-18.4493020745867,-17.9232764552152
h1,NaN,NaN,-0.422570575845251,-0.273236420571897,-0.427373411500065,-1.26158115481671,-0.404592943261519
h2,NaN,NaN,-0.150058591935146,-0.125190319576615,-0.172952692947743,-1.10977886735106,-0.150260858997133
h3,NaN,NaN,0.000694342602678629,0.0287296419210111,-0.0327650052465699,-0.979554590008893,-0.0172009529322297
h4,NaN,NaN,0.125530665745317,0.15692653923254,0.0817698467931258,-0.872966510012864,0.0251733082296808
h5,NaN,NaN,0.224293126334146,0.256932277267563,0.16964204387239,-0.89479926553847,0.0884834022280421
h6,NaN,NaN,0.301619421238851,0.335796699072985,0.23790509179992,-0.847058440573217,0.148215009950019
h7,NaN,NaN,0.366032577018816,0.39855971419441,0.295952004335107,-0.81454533856817,0.192628002521641
h8,NaN,NaN,0.417201767128227,0.451534772763436,0.33584484043591,-0.78685566065161,0.226011419354964
h9,NaN,NaN,0.469466709677946,0.498157389395376,0.380646195123527,-0.7652602054249,0.256062450294241
h10,NaN,NaN,0.509693605687871,0.5384185167801,0.412846600346908,-0.75405419811029,0.275897902906931
h11,NaN,NaN,0.544449346950602,0.573323853372087,0.43994274880746,-0.740593681338631,0.288994433635252
h12,NaN,NaN,0.578020786819415,0.606577529765031,0.465817769121875,-0.735789879650062,0.29587990829082
h13,NaN,NaN,0.601733248128541,0.629404105951635,0.482450803463146,-0.725924733293476,0.299631318505175
h14,NaN,NaN,0.626559306035651,0.645214135278578,0.496922216530397,-0.720515487683582,0.303148437708749
h15,NaN,NaN,0.645429119621654,0.658234027989255,0.509849786892385,-0.714589757550334,0.305525030951169
h16,NaN,NaN,0.665627491659988,0.672962390745154,0.523959649287015,-0.705279438502343,0.304744927752713
h17,NaN,NaN,0.686257022675614,0.691256095352343,0.540035433786206,-0.701214629624055,0.302590122478804
h18,NaN,NaN,0.702246836601643,0.725845703996991,0.544543807845923,-0.697860080838203,0.305275879956076
h19,NaN,NaN,0.723196147587897,0.786392286111531,0.562255350185924,-0.688307920977872,0.305834841506581
h20,NaN,NaN,0.74038246335896,0.880998057477344,0.572430484942537,-0.678966554103826,0.30711200698094
