VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg
cat1,0.236356880733527,0.316888305659201,0.171808244247444,-0.177133965533535,0.355861282400756
cat2,0.808578766814002,0.837930111798111,0.882281670939289,-5.98634525441826,1.08402978061545
cat3,-0.816668509831428,-0.83427147637883,-0.742199937739045,2.41022801366687,-0.875689700090985
cat4,0,0,0,0,0
cat5,-2.9692383913177,-2.39168115729603,-2.4119341123703,9.61338146458229,-3.02666963995711
cat6,0,0,0,0,0
cat7,0,0,0,0,0
cat8,0.385774981693729,0.783827653210202,0.494964569460647,-5.34589376975694,0.815879046869335
cat9,0.467114839578699,0.158511496053617,-0.519232504564708,-0.0507034659969665,0.0713654627700421
cat10,0,0,0,0,0
h0,-13.5539292137766,-13.842417348425,-13.4229685676183,-0.53754587214972,-13.8982556902327
h1,-1.2491914018186,-2.3837555493782,-1.79221930358405,0.332966359343513,-1.72732983835433
h2,-0.796303899332856,-1.41100671861744,-1.0478182767985,0.507380667900878,-1.10170586718725
h3,-0.75642959419486,-1.42693523662376,-0.814508615698423,0.847512790667309,-1.52201364421328
h4,-1.00304047669296,-1.08415345803618,-0.229284325817145,1.13962836713492,-0.907399337917806
h5,-0.415660656056065,-0.541816613285115,0.219039861741354,1.18018316769615,-0.350109700114163
h6,-0.0541399606700383,-0.393368682607447,0.342832821583141,1.10821643852174,-0.207714309663869
h7,0.0181772157175834,-0.292685295042598,0.388029144329173,1.06078950898416,-0.128870228747854
h8,-0.046279293102043,-0.713925083174251,0.119331215219631,0.780671447537,-0.214026950204371
h9,-0.25372764641652,-0.503863286988879,0.241644500964847,0.583938292238913,-0.262353871498541
h10,-0.836894841876992,-0.699102451322873,0.152312536543707,0.681167605073733,-0.416807569950142
h11,-1.06672690936081,-0.781335564379123,0.163677997200628,0.513409872130352,-0.664243559827472
h12,-0.853269329165096,-0.716391852454022,0.0937378764190145,0.259678497082256,-0.487969050126144
h13,-0.568506992533813,-0.758476987235399,-0.353819364645349,0.195587601205226,-0.653972696647084
h14,-0.439400959881583,-0.628086106189917,-0.0673053355417894,0.396508830126865,-0.433484743312666
h15,-0.258432662226723,-0.430599423562269,-0.502555408744284,0.326350518105946,-0.318479598428191
h16,-0.370739040653516,-0.153218177877771,-0.00110665010297019,0.339057308901501,-0.0919084855007865
h17,-0.0573659804293107,-0.109219354531748,0.13147152365213,0.185876206972304,-0.0665008829170427
h18,0,0,0,0,0
h19,-0.0592095231875072,0.0178513164565416,0.151321533531874,0.249719090168864,-0.0269207942747951
h20,-0.451194037155659,-0.668528327644653,0.480477034547626,0.291416979259397,0.0210507104240607
