DATES,LIP,LCPI,MP1_TC,FF4_TC,GS1,EBP
2009.25,4.482840957,5.359925034,0.0003333,-0.0051508,0.55,1.9361
2009.333333,4.472565221,5.361395447,0.0046668,0.0046668,0.50,0.9911
2009.416667,4.468364868,5.369660807,0,0,0.51,0.6391
2009.5,4.479199851,5.369362797,0,0,0.48,0.0834
2009.583333,4.489972555,5.372705657,0,-0.0032258,0.46,-0.2237
2009.666667,4.497521499,5.374634682,-0.0013332,-0.0057743,0.40,-0.1367
2009.75,4.501731156,5.377632117,-0.0036669,-0.0109999,0.37,-0.3411
2009.833333,4.504588235,5.380975114,-0.0051928,-0.008991,0.31,-0.1415
2009.916667,4.508121696,5.381495155,-0.0165772,-0.0035796,0.37,-0.5686
2010,4.519788753,5.382143677,-0.0158062,-0.0024195,0.35,-0.2239
2010.083333,4.522865171,5.381191447,-0.0041938,0,0.35,0.0425
2010.166667,4.529574492,5.38152276,-0.0026684,-0.0051613,0.40,-0.091
2010.25,4.533254118,5.381752774,-0.0025015,-0.0058386,0.45,-0.224
2010.333333,4.548434742,5.381232867,0,-0.0090001,0.37,-0.1722
2010.416667,4.550532358,5.380813984,0.0013332,0,0.32,-0.0318
2010.5,4.555498734,5.382681493,0.0036669,0,0.29,0.1778
2010.583333,4.558985924,5.384141789,0.0026183,0,0.26,-0.4764
2010.666667,4.561375026,5.385755736,0.0010715,0.0016668,0.26,-0.0738
2010.75,4.558919943,5.389231534,0,0.0033333,0.23,-0.0227
2010.833333,4.559314711,5.391762171,0.0077744,0.0046666,0.25,-0.1442
2010.916667,4.568444996,5.395770703,0.0005555,0.0003333,0.29,-0.3992
2011,4.568158631,5.398832161,-0.0009675,-0.0009677,0.27,0.0882
2011.083333,4.563072378,5.402244856,-0.0040321,-0.0040321,0.29,-0.2122
2011.166667,4.571566866,5.407369061,0,0,0.26,-0.2468
2011.25,4.56736551,5.411913873,0,0,0.25,-0.2112
2011.333333,4.569996791,5.41551801,0,0,0.19,-0.0773
2011.416667,4.572246087,5.415393486,0,-0.0015001,0.18,0.0881
2011.5,4.576473342,5.417960893,0,-0.0035,0.19,-0.0118
2011.583333,4.582616759,5.420897765,-0.0052233,-0.0037096,0.11,-0.2356
2011.666667,4.582681194,5.423521685,0.0009632,0.0053763,0.10,0.3028
2011.75,4.589341572,5.424117072,0.0055599,0.0133333,0.11,-0.2939
2011.833333,4.587850055,5.425641408,0,0.0096667,0.11,0.3945
2011.916667,4.592936661,5.42558858,0.0026417,0.0003333,0.12,0.1204
2012,4.600254122,5.428288052,0.0005393,0,0.12,0.0382
2012.083333,4.602555771,5.430594848,-0.003871,0,0.16,-0.114
2012.166667,4.596015409,5.433136679,0,0,0.19,-0.5297
2012.25,4.604449927,5.434472813,0,0,0.18,-0.3611
2012.333333,4.605678057,5.432782698,0,0,0.19,-0.3469
2012.416667,4.604861138,5.432087481,0.0027537,0.0036666,0.19,-0.0609
