VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg
cat1,0.162966572749032,0.274126695446891,0.294121550527542,0.0684353001501746,0.35182497266982
cat2,0.783919135754886,1.28271857170887,1.16127050243217,0.415361071695844,1.23275410868219
cat3,-0.765231186585561,-1.18800084337839,-0.688041122399596,-0.300572933089629,-1.04709587430538
cat4,0,0,0,0,0
cat5,-2.03516471088576,-2.62667094958072,-1.95983649314221,-0.697722748460947,-2.68462132476093
cat6,0,0,0,0,0
cat7,0,0,0,0,0
cat8,-0.0277778500588086,0.271805461225696,0.0583235896457561,0.105869018765518,0.43602646278429
cat9,0.0726953801935421,0.0646228985631116,0.0669614798629695,-0.843357535350474,-0.336173856051529
cat10,0,0,0,0,0
h0,-16.8540424256849,-16.5863072711517,-17.4912619571471,-17.7025357251776,-16.9399794844749
h1,-1.23323058282448,-1.30436886961673,-2.27504338803489,-2.24868311985587,-1.43710406363613
h2,-1.3471420797864,-1.25047705033109,-2.11933714834043,-0.953882006034218,-1.39168352005028
h3,-0.717410608495511,-1.16871332095167,-1.27761515331964,-0.905304126660489,-1.45569845063176
h4,-0.825216886513456,-0.938560099492583,-0.926208260639903,-0.636357416538238,-1.00538477213693
h5,-0.509896846576582,-0.779805858504902,-0.647338798845838,-0.168377110924848,-0.580838868182177
h6,-0.269963465782101,-1.007560593685,-0.639296113715729,-0.0398437593165982,-0.25146465950943
h7,0.00247164844119037,-0.726151776905844,-0.436034077103259,0.104794798106683,-0.0680851640934391
h8,0.0404227057240734,-0.3660492302661,-0.147479197873614,0.10242995468134,0.0750200374569022
h9,0,0,0,0,0
h10,-0.0479305035543118,0.0230838857403819,0.0136070754856917,0.0829008813323198,-0.058813230806938
h11,0.0215430303262371,-0.0396409001936831,0.0609244866653037,-0.0769561409619638,-0.0832795786876327
h12,-0.12927784790996,0.334006747320278,0.111887958052641,-0.101688091180494,0.218232811887733
h13,-0.283311550087748,0.338499922738554,0.0783250216853107,-0.376045554784957,0.104346648074888
h14,-0.301173020024072,0.562008116375395,0.0677538373085155,-0.656848748340633,0.218292292284893
h15,0.0038771548586587,0.582832810396218,0.113181863142184,-0.473399290925408,0.358332732588633
h16,0.131574709924292,0.658635725796929,0.11754122677962,-0.234159200429191,0.164475531859833
h17,0.192190988522883,0.556868105290674,0.08908621349281,-0.300675692292962,0.0477015879580974
h18,0.380296674431146,0.734663610640551,0.270933241079256,-0.301036804224403,0.190197556444205
h19,0.470370680393133,0.616717164140074,0.214952117952702,-0.25242129575547,0.0327016589948305
h20,0.471316268893266,0.281408640974231,0.311167801453703,-0.511275804585574,-0.0930186786539237
