VARIABLE,svar,lp,lp_corrbias,lp_lagaug,lp_gls,varlp_avg,svar_iv,lp_IV_controls
cat1,-0.541664315972193,-0.309719030395446,-0.643707051724031,-0.236716088597568,-0.568300986728724,-0.454731411647605,-0.628857068259959,-0.0797071702586626
cat2,-0.875782844652043,-0.516990346900842,-0.62918347575449,-0.794917041674646,-1.2666656691652,-1.25604184578314,-0.932434062628479,-0.206518563336489
cat3,0.164194264806282,-0.400372584328858,-0.216565577094623,-0.2197304659418,-0.193613633487019,-0.0369667742256976,0.386933818398289,-0.459998794666519
cat4,0,0,0,0,0,0,0,0
cat5,1.43834054106294,0.149969144129614,0.372420839751844,0.711301746323902,1.10747259590666,1.54703219697583,1.51968261589411,-0.0808611892460601
cat6,0,0,0,0,0,0,0,0
cat7,0,0,0,0,0,0,0,0
cat8,-1.22977811950654,-0.30297155295224,-1.08234773487,-0.502708136142165,-0.893638785765532,-1.12528241599823,-0.966987379170374,-0.436434163869411
cat9,-0.687694729939148,0.115984321596944,-0.233281095929558,-0.0186513609988824,-0.622511445788565,-0.186329506074431,-0.567508924789144,0.656220194033385
cat10,0,0,0,0,0,0,0,0
h0,-1.83564981241051,-1.83606476770678,-1.14857287113446,-2.02623306464664,-1.32851186340737,-1.6421187703203,-2.18427668898847,-1.56928234960224
h1,-0.886557728104816,-1.02685545797594,-0.384762739948623,-1.2816471035807,-0.519302553676526,-0.726239067094478,-0.961522138132851,-0.00207971678256859
h2,-1.03280332739372,-1.49303194554037,-0.349249682385498,-1.61741390511336,-0.483630087003829,-0.922562085423336,-0.872679029450522,-0.0291763009390202
h3,-1.31545241584037,-1.25231495707951,-0.493243258212403,-1.25965033633209,-0.300137479393251,-0.571687363426659,-1.41354921289756,-0.512579426213279
h4,-0.857024898873514,-0.726600087167392,-1.2544253693496,-0.640815248776257,-0.309072304817723,-0.680584363061081,-0.69591556222136,-0.0921963998899901
h5,-0.511174861189177,-0.582090973467476,-0.137698473548908,-0.622773338621169,-0.656900045589939,-0.505298338209913,-0.65632898236067,0.0473695834364951
h6,-0.822898236069332,-0.412866190287207,-0.457040157368314,-0.515495863931629,0.245622464641166,-0.143965809791657,0.000892573913788516,-0.0154097442030259
h7,-0.504321005553994,-0.0548590616144454,0.193299002524966,-0.222551417375808,0.215024547871487,-0.246283181251021,0.127527281749312,-0.0199751686006709
h8,-0.23425454316967,-0.0318516300480136,-0.248095929221113,-0.186641169491526,0.112205725173695,-0.0534156335925975,0.104240872411791,-0.0627771451349172
h9,0,0,0,0,0,0,0,0
h10,0.0987612191469638,-0.161444823607362,0.354948433585586,-0.455866471737342,0.394196495631197,-0.228715895478665,0.0800229022892521,-0.365615123856723
h11,-0.115337670867236,0.129111448689832,0.107240787302742,-0.155457991910813,0.409946918854531,0.0863664069290104,-0.0199236241263262,-0.534921998298671
h12,-0.150952717080223,-0.0450510167379179,0.471174124064554,-0.220701622219992,0.418368542133049,-0.465201830511158,-0.540187365535674,-0.55291582325079
h13,-0.477497084706102,-0.333220296305535,-0.109929734591081,-0.130230401006842,0.194883997160697,-0.261036832464582,-0.39878780916193,0.0172453475911173
h14,-0.920272991011459,-0.444551036183494,0.253922859746007,-0.590634138174606,0.516322118488609,-0.543028066062873,-0.373755082519996,0.069324771500802
h15,-0.965125099991963,0.110287522310612,0.252290995353338,-0.306224092691026,0.67813458804478,-0.104637066142582,-0.5944966643274,0.247046942696307
h16,-0.43036055916865,0.392070507241292,0.304091011727266,-0.252278633299288,0.379735054698921,0.0534051278294573,-0.282020337375588,-0.625610254322351
h17,-0.205266336727187,-0.154106989660137,0.133339857110878,-0.441178121133542,0.739157678349781,0.145748204308074,-0.252054051000043,-0.0375673928184796
h18,-0.172714189944979,0.0941924846616684,0.041809016171348,-0.559686463642248,0.538316697944926,-0.458934549692303,-0.21389321608519,0.161778017980014
h19,-0.192066451370746,-0.0292596777777319,0.800901174302884,0.109449399733608,0.614474641713574,-0.0743977894431763,-0.164568208314448,-0.0113149573926786
h20,-0.582283636950944,0.208970101272389,0.847525622569481,-0.000732329982152529,0.797579742998693,0.236072793273209,-0.139445298238464,0.382148709106834
