VARIABLE,svar,lp,lp_lagaug,lp_gls,varlp_avg,svar_iv,residual,lp_IV_controls
cat1,0.141329261627341,-0.00567666718197684,-0.195704320843205,0.950214980431179,-0.426992487099127,-0.119977914557567,-0.383344634347618,-0.264667700453061
cat2,0.190353837630082,2.17695032032864,2.11711202627503,-5.30474146112198,1.75898389403989,0.420147516108582,2.61347613358195,1.55386842072527
cat3,-0.73347243975715,0.0266541209608254,-0.211658782667434,1.9031335360576,-0.118778591425247,-0.717910619957184,0.00358425715991158,0.24298058929456
cat4,0,0,0,0,0,0,0,0
cat5,-0.598636114628773,-1.03685892587108,-1.16159671701271,8.35498004353584,-0.974976259713903,-0.511761110509292,-2.16679250663407,-0.457026534058405
cat6,0,0,0,0,0,0,0,0
cat7,0,0,0,0,0,0,0,0
cat8,0.0653547379347879,-0.711522952189344,-1.12844482668529,-5.14074122426664,-1.21560633618346,-0.467853642118096,-0.250167237447003,-1.3141965039539
cat9,0.117438980995127,0.00807339943664009,-0.158567822834017,1.18309074164926,-0.359403034360956,0.602459653510305,0.00192646853666364,0.351955601111892
cat10,0,0,0,0,0,0,0,0
h0,-0.199607370696798,-1.52837018502534,-0.717885148160787,-0.522016947395315,-0.373467280460944,0.176873672668388,0.202905452104391,-1.61817048289514
h1,-0.502142284651754,-1.54712831016971,-1.29462813570338,-0.223032328526058,-0.502830256258284,-0.416889577886378,0.408167127982556,-0.410688252162012
h2,0.596177990826375,-0.702647089828534,0.243182835818558,-0.18305564862601,0.442996539236969,-0.141541514440779,-0.0725083742594918,-0.684862834506766
h3,0.739567185108433,-0.488680652051825,0.51368344640954,0.206898622984269,0.625699002579983,-1.19136406798577,-0.0580756513904924,0.0418081916955701
h4,0.925654190983689,-0.584484881969519,0.145694784063675,0.449222732685593,0.717942249980573,0.204805816173673,0.245275032544498,-0.0889311619983997
h5,0.814731659667245,-0.231692463746248,0.605751075981235,-0.0155584291693771,0.817313405178714,0.645773684884729,0.230068220314889,-0.35018422019563
h6,1.00351109601433,-0.155496207520954,0.634416637200973,0.593415699318369,0.967935559882268,0.841138727101235,-0.761761012725484,-0.162029648911439
h7,0.667385946448677,0.0572372545784064,1.00705341508382,0.711635625152229,0.958867260782794,0.816814529617441,-0.405462269209625,0.127352541865731
h8,0.241480602811615,-0.464614125209559,0.484241633109806,0.649586987272567,0.234777598637756,0.767427112712867,-0.420456736316172,0.00173573223845789
h9,0.0535955861211228,-0.645164902033516,0.630049061870469,0.500768874491659,-0.434549944936578,0.494729316570881,0.0965709115515673,-0.161146093861871
h10,0.262898627054678,-0.0825600101190829,0.145671581789503,-0.18329178627588,-0.600275964024727,0.206410524597083,-0.938514428846836,0.353833349629487
h11,0.155588418725513,-0.0333773563000576,0.941852332900089,0.338152567961242,0.636273509688943,0.32157396546064,0.331405828082511,0.629555033637917
h12,0.0404723176216131,-0.241593756038911,0.503027730636252,0.346803405993873,0.526986725708569,0.36685640150188,0.0834303898771633,0.232853684275765
h13,-0.127856077420074,-0.60865487267225,0.125703589251034,0.228108910658608,-0.315909193123242,0.218244773629817,0.750114626230749,0.060179794551317
h14,-0.323768893739342,0.0522427029103784,0.581786182446964,0.140298073701499,0.189107627593126,-0.182223174206212,0.665395565521371,0.430129246563478
h15,-0.490422085984527,0.325777303238698,0.97269858087576,-0.0475341298519913,0.413044340172227,-0.0415164847013513,0.499573712602621,0.598562173335762
h16,-0.538364068778801,-0.503385482537311,0.677829140895819,-0.34248247563544,0.325848609988554,0.00201855487758751,0.295189513435627,0.32094755818781
h17,-0.260135391605861,-0.0100159344932173,0.541779262005914,-0.192317467273272,0.225683682238128,0.0135159076886784,0.0913764178813386,-0.22191418115041
h18,-0.107792100132186,-0.0493042506203622,0.642575189339236,-0.0948042957734695,0.241472292538382,0.0142536142140734,-0.331612184445217,0.302760936600004
h19,0,0,0,0,0,0,0,0
h20,0.0815341624293083,-0.0458287207550535,0.505547868358717,0.0355921956339951,0.482942292359553,-0.0273593758182417,0.363922991886272,-0.655278232051085
