VARIABLE,svar,lp,lp_lagaug,lp_gls,varlp_avg,svar_iv,residual,lp_IV_controls
cat1,0.708071279280128,0.222824836484245,0.227349484406606,-0.750481742278746,0.43674852686959,0.0915416345114511,-0.0276466862545383,0.602804289278881
cat2,1.70049002677546,1.33614693512196,1.60185733730425,-7.96899267385847,1.36264296389456,0.640029713768088,2.43487302417835,2.04379746574562
cat3,-1.08417497951031,-0.165916628852396,-0.0463681050188669,2.64266053749102,-0.504745421787269,-0.521962209881229,0.390235457388741,-0.0756697099551303
cat4,0,0,0,0,0,0,0,0
cat5,-3.24745210778227,-1.59449185106257,-1.88694477915781,13.3492910074505,-2.01930850004399,-1.30711872662777,-0.0804365149480386,-1.47392905815349
cat6,0,0,0,0,0,0,0,0
cat7,0,0,0,0,0,0,0,0
cat8,1.84591615188476,0.767636638242092,0.571170326481753,-11.1593028747186,1.21616168913382,0.317865393778702,-1.1204140579248,0.663242894983573
cat9,-0.226850517318761,-0.646389977999149,-0.592895792190541,3.05853222833458,-0.501926870381631,0.26159282048311,0.343553384127863,0.201033419615799
cat10,0,0,0,0,0,0,0,0
h0,-1.07188640893024,-1.62494085312518,-1.22938310828795,-0.0486427573747033,-1.48970375563389,-0.412915899794635,-0.0405583751306839,-2.25826581376497
h1,-0.536708550801225,-0.740173382796627,-0.670318499123975,-0.633991106274703,-0.803586789660488,0.202496423902173,0.0769431094279439,-1.6574958391379
h2,-0.253343149144182,-1.26685720527178,-0.509512375754588,0.863710308543531,-0.765886176052234,-1.14676620080082,0.0550007798679265,-1.47126457208532
h3,0.0689399226264583,-1.10683381093788,-0.714393929598512,0.349591581850139,-0.824375378594575,-0.0375424362709492,0.133324388611274,-1.25123408128169
h4,-0.399391867151949,-0.0197135437028807,-0.305521473952111,0.180906898676104,-0.0942034487894111,-0.000696803467539872,0.410332830084985,-0.990615668859612
h5,0.319495070827123,0.0422462315916696,-0.0421620768345227,-0.068479680122081,0.0953006374604458,-0.0583208513407647,-0.0119475840558393,-0.948000104010192
h6,0.282466294201781,0.409981184001566,0.353023976423257,-0.263676998261401,0.381270251584354,-0.956142710971988,-0.204042435619768,-0.682259830780164
h7,-0.794816499937419,0.704688168720649,0.693443378433624,0.848405253285608,0.355769111206675,-0.00775511438887205,-0.640121431805639,-0.198126957753549
h8,0.0999909904509414,0.0842069482551627,0.292024279497224,0.598652868140776,-0.540432204883894,0.178720034044494,-0.501810572667779,-0.889888593051819
h9,0.172423470352244,0.499252153197382,0.481951371551855,1.04026640925878,0.0328510887967607,0.289026719138492,-0.0983454989146215,-0.118136985472833
h10,-0.0967921843090604,0.719571061116719,0.629757360406978,0.615212416611987,0.384551638913164,0.35543410025336,-0.704551184996377,-0.30383556757671
h11,-0.255119151091532,0.723813295930281,0.612860410062884,0.277031832567715,0.385853287834532,0.39344966632081,-0.595783661424345,-0.287641487153262
h12,-0.279514339529058,0.597391085934019,0.371323126591568,0.727692472757027,0.316221085602227,0.402961780740374,-0.906668195685549,-0.143053460850171
h13,0.0064214250395518,0.360227774586991,0.0875195502167132,0.178418516355906,0.164141020459101,0.374301093999827,-0.347821229987786,-0.197570594702602
h14,0.041040129249891,0.49363581499765,0.430864395798507,0.681992309995499,0.24460370721332,0.327531343921785,0.138204599656713,-0.549231178859063
h15,0.0572057895320796,-0.634165041181167,-0.115587478463939,-0.472682991340113,-0.267013066042071,0.272421950606984,-0.253571755665082,-0.439346111908259
h16,0.0513221390306737,0.29378241417491,0.307305514327004,0.575383465678094,0.118338011165667,0.210341331160146,0.139005655746163,-0.123289278017335
h17,0.0383907052980605,0.322880042455203,0.325589610797386,0.999806935515138,-0.129693085637539,0.147089831091473,0.0705509745302193,-0.492652685472218
h18,0.0247742839372421,0.420156648036745,0.40651643119169,-0.391607952564661,0.147257697754656,0.0784619648520102,0.0969338827573827,-0.107792359640792
h19,0,0,0,0,0,0,0,0
h20,-0.0326735196446114,0.560147469377602,0.477008662172957,0.347782594100358,0.219175603602159,-0.0883241850095256,0.24136913051049,-0.00590371649143754
