0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.932,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.931,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.93,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.929,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.928,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.927,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.926,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.925,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.924,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.923,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.922,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.921,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.92,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.919,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.918,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.917,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.916,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.915,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.914,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.913,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.912,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.911,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.91,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.909,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.908,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.907,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.906,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.905,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.904,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.903,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.902,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.901,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.899,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.898,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.897,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.896,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.895,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.894,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.893,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.892,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.891,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.89,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.889,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.888,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.887,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.886,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.885,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.884,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.883,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.882,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.881,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.88,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.879,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.878,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.877,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.876,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.875,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.874,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.873,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.872,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.871,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.87,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.869,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.868,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.867,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.866,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.865,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.864,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.863,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.862,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.861,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.86,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.859,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.858,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
