VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg,lp_lagaug,lp_gls
cat1,-0.474181401992863,-0.712806993905107,-0.431665755245984,-0.3515550571207,-0.396748083160459,-0.171057020887742,-0.158259934242849,-0.320885795027761,0.325498143606711
cat2,0.115254458250411,-0.00340835110430544,-0.167141104239193,0.408230614978558,0.526821633581842,0.382236086251202,-0.524200531561988,0.72435852089801,0.127651796989881
cat3,-0.12448497504187,0.0285432326481168,-0.11501615513471,-0.103290160735276,-0.120182917295811,-0.266816066767477,-0.383318528072356,-0.0818598881697967,-0.47671333048577
cat4,0,0,0,0,0,0,0,0,0
cat5,-0.16676276434327,0.0600801848167395,-0.132795361124249,-0.420564161369419,-0.378159882655968,-0.0559093251411385,0.384332985113909,-0.7253063749791,-0.414351590128955
cat6,0,0,0,0,0,0,0,0,0
cat7,-0.201279793710036,-0.14319701279982,-0.617579922134647,-0.127146966877947,-0.525395513713907,-0.0873403099385336,-0.219372088355446,-0.733013542880864,-1.29276547510598
cat8,-0.426372512253797,-0.681690221121039,-0.429994093047581,-0.0999394911776498,-0.326278550866507,0.12017702052603,-0.0485944727608795,-0.194671754810631,0.0612216460518966
cat9,-0.364524440286639,-0.394958447950874,-0.709035695463812,0.165349502573354,0.101041463201052,0.270816101340255,0.390741991369662,0.194709437605907,0.799034187640731
cat10,0,0,0,0,0,0,0,0,0
h0,-1.59728551366885,-1.38670438286386,-1.23172370547242,-2.17586842773575,-1.92261088102136,-1.65889315315511,-1.57781416770536,-1.94852626414542,0.0883305296791321
h1,-1.09997591767122,-1.01436222905325,-1.47443887824996,-1.835510422348,-1.38497343162857,-1.22613165403406,-0.815120288131298,-1.74350323645312,0.302158903016832
h2,-1.05963842849465,-0.664460954211946,-0.532694595682289,-1.39940058221893,-1.06912530221841,-1.48433253222324,-0.698100709782739,-1.59531523727178,0.0786584475842759
h3,-0.266603375197594,-0.204010918416095,-0.256857355116479,-1.05741846249703,-0.890702874043686,-1.30874689706889,-0.314335514073781,-1.14827535627336,0.0599388892347132
h4,-0.437315976614379,-0.459369528931296,-0.280618741988647,-1.07619059389355,-0.951263530401135,-1.05930513512111,-0.429199054983092,-1.21161962977294,-0.353893735177911
h5,0.0459801954687687,-0.0874656681883052,0.430974923860842,-0.761769141646425,-0.606553037227305,-1.75886643289233,-0.545723273896428,-0.617367370591545,-0.239354358281617
h6,-0.0750894214185391,0.0378169200473186,0.748165223272739,-1.12289037041918,-0.831364730192387,-1.42253091971542,0.120900888871851,-0.850960573695219,-0.292087718581145
h7,-0.128546743088245,-0.0706632200064115,0.872962394988579,-1.16004898881371,-0.708484475802873,-1.37918556306015,0.20129376221874,-0.550576314596232,0.283890018907589
h8,-0.264057726527081,-0.220203531919972,0.832097317723393,-1.01238899642112,-0.628043149684317,-1.17907407325134,0.0407805141298676,-0.56396862179242,0.234208115879289
h9,0.041444806858829,-0.0305539908497782,0.835363270801996,-0.375763628447491,-0.0602397339821422,-0.801377136066058,-0.0262245303981145,-0.436996387455398,0.16641639795836
h10,0.070199748139822,0.0428765628175904,0.819247466307838,-0.330948716181753,-0.342229121665371,-0.865262986895902,0.00117033442455764,-0.573926645706183,0.155877143706992
h11,0.157510782983881,0.0993011572873456,0.711570526807963,-0.424104374936622,-0.153706190340042,-0.644477566972751,-0.327643324589511,-0.337668030064022,-0.0664928104464533
h12,0.183655837220462,0.0855258275703976,0.51829920211438,-0.342841136772382,-0.373801583950597,-0.80107243257415,-0.0878670133074963,-0.79056460827407,-0.465186729744189
h13,0.14550350586774,-0.0414197775493039,-0.194782479393133,-0.384695530823674,-0.268467818126907,-0.584940009317081,-0.0946882242223314,-0.31443490791442,-0.195181864148532
h14,0.0769716520474223,-0.248581883941969,0.109754069720292,-0.458321407453935,-0.253139847137412,-0.53649382490518,0.101109547658588,-0.164087104402922,-0.0157864954948389
h15,-0.0169488665876541,-0.428589080712986,0.20244750349965,-0.451969914571034,-0.270902237464016,-0.405627173030281,-0.184835502147297,-0.30146068585054,-0.236052764266766
h16,-0.172488983610181,-0.197957632578159,0.198741731186507,0.00428305863887096,-0.0941168756807232,-0.326454377141405,-0.281260460195558,-0.250360349458587,-0.24910139558401
h17,-0.102628361736923,-0.0941573708876382,0.163485094058645,0.0219480969835851,0.0152009120887865,-0.145398556253231,0.0154015621206577,-0.178990036847133,-0.361567136531063
h18,-0.0488110788426812,-0.0370314465176207,0.120451482698863,0.0151654067026101,0.0543571847390493,-0.126194654565611,0.261090690682163,0.0839394949149498,-0.0591867926618199
h19,-0.0185131969118497,-0.00978513456533458,0.0710153810725879,0.173486865223327,0.141334779433463,0.000511496738721897,0.440995903596082,0.243842219889923,-0.0293088713488045
h20,0,0,0,0,0,0,0,0,0
