VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg
cat1,-0.362157814085743,-0.355315069425084,-0.369295003172951,-0.260319031090622,-0.372373281920062
cat2,-1.48037100578697,-0.605608776947043,-0.974624922931002,-0.76052321436506,-1.34003193167466
cat3,0.164049870541446,-0.617275504746494,-0.487859692483211,-0.294854020704708,-0.203154546558551
cat4,0,0,0,0,0
cat5,1.79515128071338,0.602937252541668,0.317579217090647,0.758019911820571,1.23354364744504
cat6,0,0,0,0,0
cat7,0,0,0,0,0
cat8,-1.04153078330871,-0.63737671720236,-0.202979514075681,-0.522299292282282,-0.785378942700162
cat9,0.171096781730111,0.860525330079654,0.303572568513687,0.398136715811223,0.410760566732139
cat10,0,0,0,0,0
h0,-2.90232539516817,-2.07529951010578,-2.98808368819663,-2.71653520204669,-2.46325090654092
h1,-1.85114033722284,-1.07110786320505,-1.60141795052614,-1.71501865228657,-1.43697966430549
h2,-1.41182979190771,-1.2704921519268,-0.821441188052973,-1.34704541737671,-0.950532705557051
h3,-1.13280793836066,-0.623034641372285,-0.955840391670147,-1.42829470957025,-1.08782383965636
h4,-0.931474593330532,-0.248253115947156,-0.247352476216188,-0.644023224547289,-0.565641463806781
h5,-0.494197028615112,-0.18238102059977,-0.294375892300094,-0.470518632296105,-0.140121882260183
h6,-0.454312604622206,-0.370046783821873,-0.499116669865965,-0.212647165876606,-0.0936600589280528
h7,-0.187893218657045,-0.395284659114609,-0.190409029381316,-0.232867370774396,0.0196491797421875
h8,-0.408410022171641,-0.056529359533661,0.0791574204208352,0.0919613813609976,0.137160607137558
h9,0,0,0,0,0
h10,0.0888590820853186,0.17852948361158,-0.117259932387855,0.129624500382751,-0.155195392161738
h11,0.0820322088056109,0.178075786881414,0.0504629794948973,0.0509886357271674,-0.547990267505027
h12,-0.010009438380229,0.443140086819403,0.356471914651908,0.134087887515197,0.104263075732126
h13,-0.208048911578276,0.260579794056415,0.235993900998734,0.0366634225630991,0.0685209128168609
h14,-0.697483457688198,0.561440720671504,0.483556710376627,-0.26177307375332,0.142005971881081
h15,-0.704930341167624,0.105968242891548,0.335052324951205,-0.13492274849415,0.232440693643222
h16,-0.93893261526228,0.680515758190849,0.610120022353988,0.0636825889766516,0.260268015837708
h17,-0.558663853682573,0.447971193390598,0.574458214021343,0.218936118968204,0.242596321875704
h18,-0.441300502453676,0.57968127217775,0.698547006828558,0.15237931826213,0.303598416138218
h19,-0.483251536588192,0.103210684772064,0.52383106959657,0.209143706324656,0.25410252481945
h20,-0.615205785126208,0.258095898774344,0.399250917842589,0.288976542991328,0.130018385417016
